term_type	term_id	term_source	term_name	term_description
C1	D013539	internal	rhesus polyomavirus		
C1	D045402	internal	simian virus 5 SV5		
C1	R2000042	external	varicella-zoster virus VZV		
C1	D045405	internal	Nipah-virus		
C1	D052162	internal	human papillomavirus type 16 HPV16		
C1	D052161	internal	Human papillomavirus 18		
C1	R2000095	external	herpes simplex virus type-1 HSV-1		
C1	D045473	internal	Severe acute respiratory syndrome coronavirus		
C1	D052688	internal	Bovine papillomavirus type 1		
C1	D012777	internal	Rabbit papillomavirus		
C1	C000623739	internal	Tula virus		
C1	D006678	internal	AIDS virus		
C1	D018063	internal	Korean hemorrhagic fever virus		
C1	D029263	internal	epidemic hemorrhagic fever virus		
C1	D009109	internal	Mumps virus		
C1	R2000182	external	Parainfluenza virus type 2		
C1	R2000183	external	human herpesvirus type 5		
C1	D017955	internal	Poliovirus		
C1	D008459	internal	subacute sclerosing panencephalitis virus, SSPEV		
C1	D019316	internal	porcine reproductive and respiratory syndrome virus, PRRSV		
C1	D007577	internal	polyomavirus JC		
C1	R2000219	external	Herpes simplex virus type 2 (HSV-2)		
C1	D015368	internal	human T-lymphotropic virus type I HTLV-I		
C1	R2000227	external	Epstein Barr virus		
C3	R2000274	external	NRAM		
C3	R2000275	external	M2		
C3	R2000278	external	NCAP		
C3	R2000310	external	M1		
C3	R2000312	external	PB1F2		
C3	R2000333	external	TAX		
C3	R2000393	external	LHDAG		
C3	R2000403	external	LT		
C3	R2000406	external	VE6		
C3	R2000410	external	TAT		
C3	R2000441	external	VE7		
C3	R2000490	external	VE7		
C3	R2000498	external	PA		
C3	R2000507	external	VE7		
C3	R2000557	external	VE6		
C3	R2000666	external	KITH		
C3	R2000761	external	BDLF2		
C21	D014740	internal	Vidarabinum	A nucleoside antibiotic isolated from Streptomyces antibioticus. It has some antineoplastic properties and has broad spectrum activity against DNA viruses in cell cultures and significant antiviral activity against infections caused by a variety of viruses such as the herpes viruses, the vaccinia VIRUS and varicella zoster virus.	
C21	D053139	internal	Oseltamivirum	Oseltamivir (also known as the marketed product TamifluⓇ), is an antiviral neuraminidase inhibitor used for the treatment and prophylaxis of infection with influenza viruses A and B. Oseltamivir exerts its antiviral activity by inhibiting the activity of the viral neuraminidase enzyme which is found on the surface of the viral, which is essential for viral replication and infectivity.Notably, in 2017, the World Health Organization downgraded oseltamivir from its essential medicines list from a "core" drug to a "complementary" drug, due to limited cost-effectiveness.[A179086]Oseltamivir is an acetamido cyclohexene that is a structural homolog of sialic acid and inhibits neuraminidase. Developed by Roche and approved in 1999, oseltamivir (Tamiflu) is a neuraminidase inhibitor (NAI) that elicits its antiviral action by preventing both influenza A and influenza B from budding from the host cell [L5182]. Additional approved NAIs include GlaxoSmithKline’s Relenza (zanamivir) and Seqirus’ Rapivab (peramivir) [L5182]. Although such NAIs are only effective if administered within 48hrs of symptom onset, they have demonstrated the ability to shorten the duration of influenza symptoms, with earlier treatment generally yielding better results [L5182]. Especially given the appearance of contemporary generic alternatives, oseltamivir remains a popular and demonstrably effective and successful influenza antiviral, particularly as an element in various national and community pandemic action plans.	
C21	D019888	internal	Nelfinavir	Nelfinavir is a potent HIV-1 protease inhibitor. It is used in combination with other antiviral drugs in the treatment of HIV in both adults and children. Nelfinavir inhibits the HIV viral proteinase enzyme which prevents cleavage of the gag-pol polyprotein, resulting in noninfectious, immature viral particles.	
C21	D019469	internal	Indinavir anhydrous	A potent and specific HIV protease inhibitor that appears to have good oral bioavailability. [PubChem]	
C21	D019829	internal	NVP	A potent, non-nucleoside reverse transcriptase inhibitor (NNRTI) used in combination with nucleoside analogues for treatment of Human Immunodeficiency Virus Type 1 (HIV-1) infection and AIDS. [PubChem] Structurally, nevirapine belongs to the dipyridodiazepinone chemical class.	
C21	D007065	internal	Joddeoxiuridin	An analog of deoxyuridine that inhibits viral DNA synthesis. The drug is used as an antiviral agent.	
C21	C053539	internal	Penciclovirum	Penciclovir is a synthetic acyclic guanine derivative with antiviral activity used for the treatment of various herpes simplex virus (HSV) infections. Displaying low toxicity and good selectivity, penciclovir is a nucleoside analogue.	
C21	D000077404	internal	Cidofovirum	Cidofovir is an injectable antiviral medication employed in the treatment of cytomegalovirus (CMV) retinitis in patients diagnosed with AIDS. It suppresses CMV replication through selective inhibition of viral DNA synthesis.[FDA label] It was manufactured by _Gilead_ and initially approved by the FDA in 1996, but has since been discontinued.[L6223]	
